Last name;First name;ID;photoURL;group;position;country;party;telephone_1;telephone_2;email_1;address_brussels;address_strassbourg;tw_link;fb_link;ig_link;web_link;yt_link;li_link;D-ZA;D-MD;SEDE;ENVI;BUDG;D-CA;DNAT;AFET;SANT;D-BR;D-UA;CULT;D-RS;FISC;HOUS;DAFR;DCAB;DPAL;QUE;DSEE;ECON;REGI;DEVE;DMAG;DAND;CPDE;DACP;DSAS;PETI;D-AL;BCPR;D-IR;DCAR;CPCO;D-US;JURI;DASE;AFCO;D-CN;DEEA;D-MK;BURO;IMCO;DMED;ID;D-BY;D-AF;TRAN;D-IL;D-RU;EUDS;D-ME;FEMM;CONT;DKOR;DLAT;LIBE;D-IN;DMER;D-UK;D-JP;DROI;DARP;D-MX;PE;PECH;AGRI;ITRE;D-IQ;DPAP;DANZ;DPAC;DMAS;DEPA;DCAM;DCAS;DSCA;EMPL;D-TR;D-CL;INTA;find_me_URL
MILLÁN MON;Francisco José;28400;https://www.europarl.europa.eu/mepphoto/28400.jpg;Group of the European People's Party (Christian Democrats);Member;Spain;Partido Popular;0032 2 28 45430;0033 3 88 1 75430;francisco.millanmon@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10E153, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T10082, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/PacoMillanMon;https://www.facebook.com/Francisco-Mill%C3%A1n-Mon-101795278943999;https://www.instagram.com/franciscomillanmon/;;;https://www.linkedin.com/in/francisco-mill%C3%A1n-mon-91a130222/;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;28400;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/28400
MINCHEV;Nikola;257259;https://www.europarl.europa.eu/mepphoto/257259.jpg;Renew Europe Group;Member of the Bureau;Bulgaria;We continue the change – Democratic Bulgaria;0032 2 28 45546;0033 3 88 1 75546;nikola.minchev@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10G152, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M02017, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vice-Chair;;257259;;;;;;;;;;Substitute;;Substitute;;;;Member;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257259
MIRANDA PAZ;Ana;24942;https://www.europarl.europa.eu/mepphoto/24942.jpg;Group of the Greens/European Free Alliance;Member;Spain;Bloque Nacionalista Galego;0032 2 28 45293;0033 3 88 1 75293;ana.miranda@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 04E252, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G03039, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/anamirandapaz;;;;;;;;;;;;;;;Substitute;;;;;;;;Substitute;;;;Substitute;Member;;;;;;Member;;;;;;;;;;;;;;;;24942;;;;;;;;;;;Vice-Chair;;;;;;;;;;Member;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/24942
MOLNÁR;Csaba;124722;https://www.europarl.europa.eu/mepphoto/124722.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Hungary;Demokratikus Koalíció;0032 2 28 45571;0033 3 88 1 75571;csaba.molnar@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 12G258, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T05062, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;https://www.facebook.com/drmolnarcsaba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;Member;;;;;;;;124722;;;;;;Vice-Chair;;;Member;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/124722
MONTERO;Irene;245770;https://www.europarl.europa.eu/mepphoto/245770.jpg;The Left group in the European Parliament - GUE/NGL;Vice-Chair;Spain;PODEMOS;0032 2 28 45893;0033 3 88 1 75893;irene.montero@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08H165, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G01007, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;Substitute;;;;;;;Member;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;245770;;;;;;;;Vice-Chair;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;Member;;https://www.europarl.europa.eu/meps/en/245770
MONTSERRAT;Dolors;197711;https://www.europarl.europa.eu/mepphoto/197711.jpg;Group of the European People's Party (Christian Democrats);Vice-Chair;Spain;Partido Popular;0032 2 28 45795;0033 3 88 1 75795;d.montserrat@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10E201, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T10149, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/dolorsmm;https://www.facebook.com/dolorsmontserratoficial/;https://www.instagram.com/dolorsmontserrat_;http://www.pp.es/dolors-montserrat;;https://es.linkedin.com/in/dolors-montserrat-75206313;;;;Member;;;;;Substitute;;;;;;;;;;;;;;;;;;;;Vice-Chair;;;;;;;;;;;;;;;;197711;;;;;;;;;;;;Substitute;;;;Substitute;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197711
MORACE;Carolina;257140;https://www.europarl.europa.eu/mepphoto/257140.jpg;The Left group in the European Parliament - GUE/NGL;Member of the Bureau;Italy;Movimento 5 Stelle;0032 2 28 45898;0033 3 88 1 75898;carolina.morace@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 01H253, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G02026, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://www.twitter.com/CarolinaMorace;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;Substitute;;;;;;;;;;Substitute;;;;Substitute;;;;;;;;257140;;;;;;;;Member;;;;;;;;;;;;;;;;;;Vice-Chair;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257140
MORANO;Nadine;72779;https://www.europarl.europa.eu/mepphoto/72779.jpg;Group of the European People's Party (Christian Democrats);Member;France;Les Républicains;0032 2 28 45446;0033 3 88 1 75446;nadine.morano@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 09E217, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T09028, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/nadine__morano;https://www.facebook.com/Nadine.Morano;https://www.instagram.com/nadinemorano/;http://www.nadinemorano.fr/;;;;;;;;;;;;;;;;;;Member;;;;;;;Substitute;Substitute;;;Member;;Substitute;;;;;;;;;;;;;;;Member;72779;;;;;;;;;;;;Member;;;;;;;;;;;;;Member;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/72779
MORATTI;Letizia;257151;https://www.europarl.europa.eu/mepphoto/257151.jpg;Group of the European People's Party (Christian Democrats);Member;Italy;Forza Italia;0032 2 28 45752;0033 3 88 1 75752;letizia.moratti@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 11E165, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T09046, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/letiziamoratti;;https://www.instagram.com/letiziamoratti/;;;;;;;Substitute;;;;;Member;;;;;;;Member;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;257151;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;Member;;;;https://www.europarl.europa.eu/meps/en/257151
MOREIRA DE SÁ;Tiago;257054;https://www.europarl.europa.eu/mepphoto/257054.jpg;Patriots for Europe Group;Member;Portugal;Chega;0032 2 28 45395;0033 3 88 1 75395;tiago.damotaveigamoreiradesa@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 07M043, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G07016, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;Substitute;;;;;Member;;;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;257054;;;;;;;;;;;Member;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257054
MORENO SÁNCHEZ;Javier;28347;https://www.europarl.europa.eu/mepphoto/28347.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Spain;Partido Socialista Obrero Español;0032 2 28 45492;0033 3 88 1 75492;javier.morenosanchez@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 14G351, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T07009, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;Chair;;;;;;;;;;;;;;;;;;;Substitute;Member;;;;;;;;;;;;;;;;;;;28347;;;;;;;;;;;Substitute;Substitute;;;;;;;;;;;;;;;;;;;;;;;;Member;https://www.europarl.europa.eu/meps/en/28347
MORETTI;Alessandra;124799;https://www.europarl.europa.eu/mepphoto/124799.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Italy;Partito Democratico;0032 2 28 45139;0033 3 88 1 75139;alessandra.moretti@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 15G346, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T06080, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/ale_moretti;https://www.facebook.com/alessandramorettiPD;;https://alessandramoretti.eu/;;;;;;Member;;;;Substitute;Member;;;;Vice-Chair;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;124799;;Vice-Chair;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/124799
MOTREANU;Dan-Ştefan;197647;https://www.europarl.europa.eu/mepphoto/197647.jpg;Group of the European People's Party (Christian Democrats);Member;Romania;Partidul Naţional Liberal;0032 2 28 45457;0033 3 88 1 75457;dan-stefan.motreanu@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 11E146, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T13017, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/Dan_Motreanu;;https://www.instagram.com/dan.motreanu/;;;;;;;Member;;;;;Substitute;Substitute;;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;197647;;;;;;;;;;;Substitute;;;Substitute;;;;;;;;Substitute;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197647
MULARCZYK;Arkadiusz;257060;https://www.europarl.europa.eu/mepphoto/257060.jpg;European Conservatives and Reformists Group;Member;Poland;Prawo i Sprawiedliwość;0032 2 28 45963;0033 3 88 1 75963;arkadiusz.mularczyk@europarl.europa.eu;Parlement européen, Bât. SOPHIE SCHOLL, 00U014, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M06098, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/arekmularczyk?lang=en;https://www.facebook.com/arkadiusz.mularczyk/?locale=pl_PL;;;;;;;;;;;Substitute;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;Substitute;;;;;;;;;257060;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257060
MÜLLER;Piotr;257080;https://www.europarl.europa.eu/mepphoto/257080.jpg;European Conservatives and Reformists Group;Member;Poland;Prawo i Sprawiedliwość;0032 2 28 45776;0033 3 88 1 75776;piotr.muller-office@europarl.europa.eu;Parlement européen, Bât. SOPHIE SCHOLL, 06U001, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M06084, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/PiotrMuller;https://www.facebook.com/piotr.muller;;https://piotrmuller.pl/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;257080;;;;;;;;;;Substitute;;;;;;Substitute;;;;;Substitute;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257080
MULLOOLY;Ciaran;257298;https://www.europarl.europa.eu/mepphoto/257298.jpg;Renew Europe Group;Member;Ireland;Independent;0032 2 28 45549;0033 3 88 1 75549;ciaran.mullooly@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 09G154, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M01049, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;;;;Vice-Chair;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;257298;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257298
MUREŞAN;Siegfried;124802;https://www.europarl.europa.eu/mepphoto/124802.jpg;Group of the European People's Party (Christian Democrats);Vice-Chair;Romania;Partidul Naţional Liberal;0032 2 28 45154;0033 3 88 1 75154;siegfried.muresan@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 11E259, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T13045, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/SMuresan;https://www.facebook.com/SiegfriedMEP;https://www.instagram.com/siegfriedmuresan;http://www.siegfriedmuresan.eu/;;;;Chair;;;Member;;;;;;;;;;;;;;;;Member;;;;;Member;;;;;;;;;Substitute;;;;;;;;;;124802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;https://www.europarl.europa.eu/meps/en/124802
MUŞOIU;Ştefan;257103;https://www.europarl.europa.eu/mepphoto/257103.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Romania;Partidul Social Democrat;0032 2 28 45690;0033 3 88 1 75690;stefan.musoiu@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 13G157, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T05073, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;https://www.facebook.com/Stefan.Musoiu0616/;;;;https://ro.linkedin.com/in/stefan-musoiu-34691342?trk=people-guest_people_search-card;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;257103;;;Member;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;Substitute;;Member;https://www.europarl.europa.eu/meps/en/257103
NAGYOVÁ;Jana;256843;https://www.europarl.europa.eu/mepphoto/256843.jpg;Patriots for Europe Group;Member;Czechia;ANO 2011;0032 2 28 45404;0033 3 88 1 75404;jana.nagyova@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 04M083, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G06022, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Member;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256843;;;;;;;;;;;;;Member;;Substitute;;;;;;;;Member;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256843
NARDELLA;Dario;257111;https://www.europarl.europa.eu/mepphoto/257111.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Italy;Partito Democratico;0032 2 28 45694;0033 3 88 1 75694;dario.nardella@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 15G202, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T06137, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://www.x.com/DarioNardella;https://www.facebook.com/darionardella;https://www.instagram.com/dario_nardella;http://www.darionardella.it;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;Member;257111;;;;;;;;;;;;;;;;;;;;;;Member;Substitute;;Substitute;;;Substitute;;;;;;;;;https://www.europarl.europa.eu/meps/en/257111
NAVARRETE ROJAS;Fernando;257027;https://www.europarl.europa.eu/mepphoto/257027.jpg;Group of the European People's Party (Christian Democrats);Member;Spain;Partido Popular;0032 2 28 45765;0033 3 88 1 75765;fernando.navarrete@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 09E258, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T10078, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;https://www.instagram.com/fernando_navarrete_rojas/;;;;;;;;Member;;;;;Member;;;;Member;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;257027;;;;;;;;;;;;;;Substitute;;;;;;;;;Substitute;;;;;;;;;;;Substitute;;;https://www.europarl.europa.eu/meps/en/257027
NEGRESCU;Victor;88882;https://www.europarl.europa.eu/mepphoto/88882.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Romania;Partidul Social Democrat;0032 2 28 45711;0033 3 88 1 75711;victor.negrescu@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 13G130, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T12047, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/negrescuvictor;https://it-it.facebook.com/victornegrescu/;https://www.instagram.com/victor_negrescu/;;;;;;;Substitute;Member;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;Member;Member;;;;;;Member;;;88882;;;;;;;;;;;;;;;;;;;;Vice-President;;;;;;Substitute;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/88882
NEMEC;Matjaž;233862;https://www.europarl.europa.eu/mepphoto/233862.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Slovenia;Socialni demokrati;0032 2 28 45493;0033 3 88 1 75493;matjaz.nemec@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 15G130, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T05013, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/matjanemec;https://www.facebook.com/MatjazNemecSD/events;https://www.instagram.com/matjaznemec/;https://www.matjaz-nemec.si/sl/;;;;;;;Member;;;Substitute;;;;;Member;;;;;Vice-Chair;;Substitute;;;;;;;;;;;;;;;;;;;;;Substitute;;;;233862;;;;;;;Member;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/233862
NERUDOVÁ;Danuše;256847;https://www.europarl.europa.eu/mepphoto/256847.jpg;Group of the European People's Party (Christian Democrats);Member;Czechia;Starostové a nezávisli;0032 2 28 45767;0033 3 88 1 75767;danuse.nerudova@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 07F252, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T08058, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/danusenerudova;;https://www.instagram.com/danusenerudova/;;;;;;;Substitute;Member;;;;;;;;;Member;;;;;;;Substitute;;;;;;;;;;;Member;;;;;;;;;;;;;256847;;;;;;;;;;Vice-Chair;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256847
NESCI;Denis;239260;https://www.europarl.europa.eu/mepphoto/239260.jpg;European Conservatives and Reformists Group;Co-treasurer;Italy;FRATELLI D' ITALIA;0032 2 28 45812;0033 3 88 1 75812;denis.nesci@europarl.europa.eu;Parlement européen, Bât. SOPHIE SCHOLL, 02U005, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M05079, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;http://www.denisnesci.it/;;;;;;;;;;;;;;;;Member;;;;;;;Member;Substitute;;Member;;;;;;;;;;;;;;;;;;;Member;Member;239260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/239260
NEUHOFF;Hans;256944;https://www.europarl.europa.eu/mepphoto/256944.jpg;Europe of Sovereign Nations Group;Member;Germany;Alternative für Deutschland;0032 2 28 45968;0033 3 881 75968;hans.neuhoff@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 03F243, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. VACLAV HAVEL, V03023, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;Member;;;;;Substitute;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;Member;;;;;;256944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;https://www.europarl.europa.eu/meps/en/256944
NEUMANN;Hannah;197464;https://www.europarl.europa.eu/mepphoto/197464.jpg;Group of the Greens/European Free Alliance;Member;Germany;Bündnis 90/Die Grünen;0032 2 28 45705;0033 3 88 1 75705;hannah.neumann@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 05F155, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G04028, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/HNeumannMEP;https://www.facebook.com/HNeumannMEP/;https://www.instagram.com/hneumannmep/;https://hannahneumann.eu/;;;;;Member;;;;;Member;;;;;;;;;;;;;;;;;;Member;;;;;;Chair;;;;;;;;;;;;;197464;;Member;;;;;;;;;;Substitute;;;;;Substitute;Substitute;;;;;;Member;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197464
NEVADO DEL CAMPO;Elena;257039;https://www.europarl.europa.eu/mepphoto/257039.jpg;Group of the European People's Party (Christian Democrats);Member;Spain;Partido Popular;0032 2 28 45779;0033 3 88 1 75779;elena.nevadodelcampo@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10E154, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T10025, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/nevado_campo;;https://www.instagram.com/elenanevadodc/;;;;;;;;;;;;Member;;;;;;;;;;;;;Member;;;;;;;Substitute;;;;;;;;;;;;;;;;257039;;;Substitute;;;;;Substitute;;;Vice-Chair;;;;;;;;;;;;;;;;;;;Member;;;;;;;https://www.europarl.europa.eu/meps/en/257039
NICA;Dan;124784;https://www.europarl.europa.eu/mepphoto/124784.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Romania;Partidul Social Democrat;0032 2 28 45448;0033 3 88 1 75448;dan.nica@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 13G246, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T05032, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;Substitute;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124784;;;;Vice-Chair;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/124784
NIEBLER;Angelika;4289;https://www.europarl.europa.eu/mepphoto/4289.jpg;Group of the European People's Party (Christian Democrats);Member;Germany;Christlich-Soziale Union in Bayern e.V.;0032 2 28 45390;0033 3 88 1 75390;angelika.niebler@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 14E102, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T11041, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/ANiebler;https://www.facebook.com/aniebler;https://www.instagram.com/angelika.niebler;http://www.angelika-niebler.de/;https://www.youtube.com/user/AngelikaNiebler;;;;Substitute;;;;;Substitute;;;;;;;;;;;;;;;;;;Member;;;;;;;;;Substitute;Substitute;Member;;;;;;;;4289;;;;;;;;;;;;;Chair;;;;;;;;;;Member;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/4289
NIEDERMAYER;Luděk;124701;https://www.europarl.europa.eu/mepphoto/124701.jpg;Group of the European People's Party (Christian Democrats);Member;Czechia;TOP 09 a Starostové;0032 2 28 45574;0033 3 88 1 75574;ludek.niedermayer@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 07F265, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T08093, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/LudekNie;https://www.facebook.com/Niedermayer.Ludek;https://www.instagram.com/ludekniedermayer/;https://www.niedermayer.cz/;;;;;;;;;;;;;;;;Member;Substitute;;;;;;Vice-Chair;;;;;;;;;;;;;;Substitute;;;;;;;;;;124701;;;Substitute;;;;;;;;;;;;Substitute;Member;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/124701
